STOCK,STOCK_NAME
POLLOCK,Walleye pollock
PCOD,Pacific cod
SABLEFISH,Sablefish
YFIN,Yellowfin sole
TURBOT,Greenland turbot
ATF,Arrowtooth flounder
KAMCHATKA,Kamchatka flounder
NROCKSOLE,Northern rock sole
SHALLOWFLAT,Shallow water flatfish
SROCKSOLE,Southern rock sole
UROCKSOLE,Unidentified rock sole
FLATHEAD,Flathead sole
PLAICE,Alaska Plaice
DEEPFLAT,Deep water flatfish
REX,Rex sole
OFLAT,Other flatfish
POP,Pacific ocean perch
NORK,Northern rockfish
BLACKSPOTTED,Blackspotted rockfish
SHORTRAKER,Shortraker rockfish
DUSKY,Dusky rockfish
DSR,Demersal shelf rockfish
THORNY,Thornyhead rockfish
OROCK,Other rockfish
ATKA,Atka mackerel
AKSKATE,Alaska skate
OTHSKATE,Other skates
BIGSKATE,Big skates
LONGNOSE,Longnose skates
SKATE,Skates
SCULPIN,Sculpins
SHARK,Sharks
SQUID,Squids
OCTO,Octopus
GIANTPACOCTO,Giant Pacific Octopus
BLUEKING,Blue king crab
REDKING,Red king crab
SNOWCRAB,Snow crab
TANNER,Tanner crab
GOLDKING,Golden king crab
DOVER,Dover sole
ROUGH,Rougheye rockfish